,timestamp,Altitude
201,43.3250470161438,2.95
202,43.5212550163269,2.905
203,43.74233794212341,3.015
204,43.929110050201416,2.9
205,44.116677045822144,2.825
206,44.307543992996216,2.85
207,44.48997902870178,2.875
208,44.67970991134644,2.93
209,44.86617302894592,2.945
210,45.09437298774719,2.915
211,45.30632090568543,2.925
212,45.49183106422424,2.96
213,45.67979788780213,2.9
214,45.864588022232056,2.85
215,46.05319809913635,2.84
216,46.236238956451416,2.855
217,46.4240870475769,2.825
218,46.61149501800537,2.84
219,46.80259895324707,2.885
220,46.98224401473999,2.89
221,47.17011308670044,2.905
222,47.35757994651794,2.93
223,47.544342041015625,2.96
224,47.72862887382507,2.98
225,47.91541504859924,2.98
226,48.10610795021057,2.98
227,48.32720994949341,2.99
228,48.513060092926025,3.045
229,48.73303294181824,3.075
230,48.91998505592346,3.07
231,49.10766792297363,3.045
232,49.29472804069519,2.94
233,49.479877948760986,2.845
234,49.668822050094604,2.86
235,49.853713035583496,2.875
236,50.03911089897156,2.83
237,50.22933292388916,2.84
238,50.41559600830078,2.875
239,50.599575996398926,2.825
240,50.79739308357239,2.83
241,50.98707103729248,2.825
242,51.171452045440674,2.78
243,51.36333703994751,2.73
244,51.54839110374451,2.7
245,51.73249793052673,2.725
246,51.920933961868286,2.665
247,52.103835105896,2.665
248,52.29516506195069,2.66
249,52.47932696342468,2.7
250,52.66664910316467,2.7
251,52.851561069488525,2.705
252,53.038573026657104,2.685
253,53.22651696205139,2.665
254,53.41202902793884,2.675
255,53.60084700584412,2.66
256,53.78580403327942,2.66
257,53.97021198272705,2.685
258,54.15767002105713,2.715
259,54.3457260131836,2.71
260,54.5297269821167,2.74
261,54.74084210395813,2.82
262,54.928098917007446,2.825
263,55.1161789894104,2.83
264,55.30355501174927,2.855
265,55.49202489852905,2.925
266,55.70950889587402,2.96
267,55.89378190040589,3.04
268,56.09658908843994,3.055
269,56.33028697967529,3.07
270,56.56022095680237,3.13
271,56.80242300033569,3.1
272,57.04980492591858,3.15
273,57.29726696014404,3.185
274,57.54377102851868,3.13
275,57.79233407974243,3.115
276,58.04037690162659,3.095
277,58.28878998756409,3.06
278,58.53182792663574,3.055
279,58.719285011291504,3.015
280,58.90562391281128,2.94
281,59.092315912246704,2.85
282,59.279529094696045,2.815
283,59.46501302719116,2.79
284,59.65156602859497,2.77
285,59.83789706230164,2.775
286,60.02704095840454,2.735
287,60.21433997154236,2.73
288,60.39744210243225,2.74
289,60.58430099487305,2.75
290,60.77193808555603,2.745
291,60.95826292037964,2.715
292,61.14366292953491,2.68
293,61.33110809326172,2.735
294,61.51728105545044,2.77
295,61.70586705207825,2.78
296,61.93800592422485,2.765
297,62.1883339881897,2.765
298,62.41783809661865,2.825
299,62.606019020080566,2.805
300,62.80093288421631,2.82
301,62.98833894729614,2.71
302,63.23637008666992,2.79
303,63.484086990356445,2.885
304,63.73779392242432,2.98
305,64.00836205482483,3.085
306,64.3125250339508,3.155
307,64.59679102897644,3.305
308,64.90304803848267,3.305
309,65.14948296546936,3.25
310,65.45713400840759,3.17
311,65.76283502578735,3.18
312,66.01316094398499,3.06
313,66.30188202857971,3.045
314,66.55144500732422,3.085
315,66.81605505943298,3.13
316,67.08074188232422,3.295
317,67.37815809249878,3.37
318,67.62748694419861,3.42
319,67.87381792068481,3.37
320,68.12375688552856,3.38
321,68.46171808242798,3.375
322,68.8332929611206,3.325
323,69.19896507263184,3.3
324,69.527596950531,3.295
325,69.7774178981781,3.23
326,70.02581691741943,3.15
327,70.27195310592651,3.155
328,70.51545190811157,3.115
329,70.74567699432373,3.17
330,70.99612498283386,3.185
331,71.24131202697754,3.195
332,71.49046492576599,3.235
333,71.73702096939087,3.21
334,71.986074924469,3.25
335,72.2324800491333,3.29
336,72.48190593719482,3.29
337,72.72927594184875,3.285
338,72.97616600990295,3.32
339,73.22370290756226,3.32
340,73.47163105010986,3.32
341,73.72036099433899,3.285
342,73.96824097633362,3.24
343,74.21514105796814,3.195
344,74.46415209770203,3.125
345,74.71404004096985,3.015
346,74.94553208351135,3.02
347,75.15510606765747,2.95
348,75.34052991867065,2.94
349,75.54243397712708,2.81
350,75.72659587860107,2.9
351,75.95453810691833,3.03
352,76.1549620628357,2.935
353,76.3450939655304,2.91
354,76.5589509010315,2.95
355,76.75514101982117,2.945
356,76.99870300292969,2.96
357,77.21928095817566,2.92
358,77.42376494407654,2.915
359,77.66149997711182,2.845
360,77.88628888130188,2.85
361,78.07169389724731,2.865
362,78.25955390930176,2.87
363,78.44605302810669,2.875
364,78.63075590133667,2.84
