,forecast,real_wind,residuals,t_plus_x
2023-09-25 16:49:03.250,2.3066844065517134,2.15,-0.15668440655171345,2.695
2023-09-25 16:49:03.275,2.2711511984796307,2.03,-0.24115119847963085,2.66
2023-09-25 16:49:03.300,2.0392712404676936,1.912,-0.12727124046769367,2.647
2023-09-25 16:49:03.325,2.0763690747288073,1.861,-0.21536907472880729,2.582
2023-09-25 16:49:03.350,2.1031302011810116,1.836,-0.2671302011810115,2.565
2023-09-25 16:49:03.375,2.10442860543051,1.837,-0.26742860543051017,2.531
2023-09-25 16:49:03.400,2.0912065210201662,1.788,-0.3032065210201662,2.485
2023-09-25 16:49:03.425,1.8936769787486558,1.79,-0.10367697874865578,2.411
2023-09-25 16:49:03.450,2.0062017645451333,1.79,-0.2162017645451333,2.357
2023-09-25 16:49:03.475,2.1264381529477325,1.784,-0.3424381529477325,2.366
2023-09-25 16:49:03.500,1.9843222597831622,1.818,-0.16632225978316217,2.36
2023-09-25 16:49:03.525,1.959383237661866,1.827,-0.1323832376618661,2.352
2023-09-25 16:49:03.550,1.9344537047864565,1.882,-0.05245370478645661,2.286
2023-09-25 16:49:03.575,1.8475617277018914,1.874,0.02643827229810869,2.256
2023-09-25 16:49:03.600,1.6463533175398843,1.858,0.21164668246011575,2.244
2023-09-25 16:49:03.625,1.5810547507858428,1.804,0.22294524921415726,2.204
2023-09-25 16:49:03.650,1.4725720556582862,1.75,0.2774279443417138,2.165
2023-09-25 16:49:03.675,1.5225516452358892,1.7,0.1774483547641108,2.177
2023-09-25 16:49:03.700,1.582997466413223,1.633,0.05000253358677709,2.15
2023-09-25 16:49:03.725,1.6342761971835238,1.617,-0.0172761971835238,2.03
2023-09-25 16:49:03.750,1.721064977157989,1.574,-0.14706497715798883,1.912
2023-09-25 16:49:03.775,1.6302555985903342,1.571,-0.059255598590334246,1.861
2023-09-25 16:49:03.800,1.866875677986392,1.577,-0.289875677986392,1.836
