,timestamp,altitude_ref
219,52.24623395,3.1
220,52.49036443199999,3.1
221,52.73548035799999,3.1
222,52.98538211699999,3.1
223,53.22743117200001,3.1
224,53.451120246,3.1
225,53.69546504200001,3.1
226,53.930866042000005,3.1
227,54.18063848600001,3.1
228,54.421725505,3.1
229,54.659645301,3.1
230,54.89975176399999,3.1
231,55.14168902300001,3.1
232,55.383638115,3.1
233,55.61531370799999,3.1
234,55.867208893,3.1
235,56.1019973,3.1
236,56.342010041,3.1
237,56.59489231800001,3.1
238,56.83925767,3.1
239,57.084035411,3.1
240,57.319905947,3.1
241,57.54745067,3.1
242,57.784764688,3.1
243,58.03116900299999,3.1
244,58.255236651,3.1
245,58.490773373,3.1
246,58.72523726099999,3.1
247,58.953551428,3.1
248,59.19803740900001,3.1
249,59.435195354,3.1
