,Index,timestamp,throttle_ref,yaw,pitch,roll,tof_measurement,accX,accY,accZ,altitude_ref,RC_data,mot_FL,mot_FR,mot_BL,mot_BR,KF_altitutde_est,KF_velocity_z_est,KF_alpha_est,KF_beta_est
27,1270,5.876032015,0.442142857142857,0.0633091251090447,0.077513429305227,0.0825773189473986,[nan],-0.04,-0.08,-1.1,-1,"4.935,0.177,0.061,1397.,0.622,0.644,0.139,0.995,16",1437.0,1335.0,1371.0,1442.0,0.65580191689843,0.0342317258676113,21.86103756337072,-9.520249218500256
28,1280,6.103084311,0.442142857142857,0.0632169620051617,0.0981422418899271,0.0632169620051617,[nan],-0.08,-0.1,-1.16,-1,"5.010,0.089,0.062,1397.,0.622,0.644,0.139,0.995,16",1415.0,1366.0,1372.0,1434.0,0.7336553878969198,0.1938694946288845,21.86294418494564,-9.520233830340011
29,1290,6.350043273999997,0.4407142857142856,0.0612167418079317,0.0381652402549241,0.0612167418079317,[nan],-0.05,0.01,-1.1,-1,"5.010,0.020,0.145,1396.,0.622,0.644,0.139,0.995,16",1402.0,1364.0,1374.0,1446.0,0.7569173698020123,0.1509531535162893,21.85388801617962,-9.52030890997954
30,1300,6.558264478000002,0.442142857142857,0.0599010514703161,-0.0036000077760451,0.1200183964474945,[nan],-0.24,0.13,-1.13,-1,"4.935,0.065,0.157,1397.,0.622,0.644,0.139,0.995,16",1389.0,1358.0,1416.0,1422.0,0.935222866166408,0.1843025334785653,21.84465366114662,-9.520376721800805
31,1310,6.770904421999997,0.4414285714285713,0.0612686493337732,0.0157415628274206,0.1406672040756711,[nan],-0.08,-0.04,-1.1,-1,"5.010,0.139,0.121,1397.,0.622,0.644,0.139,0.995,16",1381.0,1366.0,1419.0,1420.0,1.0989545146358497,0.0490163332164133,21.83169713621609,-9.520484753237204
32,1320,6.981889366000001,0.4414285714285713,0.0635811660810546,0.0562674667352203,0.1219703084704034,[nan],-0.02,-0.01,-0.96,-1,"5.010,0.188,0.067,1397.,0.622,0.645,0.139,0.995,16",1392.0,1361.0,1414.0,1420.0,1.2735992088702222,0.0901951838331954,21.827162633332843,-9.52052179391137
33,1330,7.186451366,0.4407142857142856,0.0842642746071705,0.0966650642910473,0.0842642746071705,[nan],-0.12,-0.01,-1.1,-1,"4.935,0.177,0.052,1396.,0.622,0.645,0.139,0.995,16",1398.0,1375.0,1399.0,1414.0,1.5640387689322124,0.164331764065373,21.82578901254821,-9.520533270672273
34,1340,7.416212087999998,0.417857142857143,0.1033721974929115,0.096855927957133,0.0651741143659536,[nan],0.09,0.02,-1.0,-1,"5.085,0.157,0.036,1376.,0.622,0.644,0.139,0.995,16",1403.0,1336.0,1360.0,1420.0,1.7910558218586825,-0.0130173051809704,21.828098639460794,-9.520433658533143
35,1350,7.666699625,0.417857142857143,0.1224949432114769,0.0974285341374259,0.0461046897320991,[nan],0.07,-0.1,-0.93,-1,"5.010,0.144,0.043,1376.,0.622,0.645,0.139,0.995,16",1375.0,1351.0,1368.0,1408.0,2.1094552662831783,0.0462851018539596,21.86695124826175,-9.5192433000327
36,1360,7.872638884000001,0.4164285714285713,0.1219300652712353,0.0774531022687241,0.0448372412216491,[nan],0.0,0.11,-0.92,-1,"4.935,0.144,0.100,1374.,0.622,0.644,0.139,0.995,16",1358.0,1356.0,1369.0,1411.0,2.254108150642346,-0.0733652822386638,21.90062684294013,-9.51817150147346
37,1370,8.08614944,0.415,0.1425722396485617,0.0542041266174262,0.0841260535475791,[nan],-0.07,0.0,-0.93,-1,"5.010,0.163,0.222,1373.,0.622,0.644,0.139,0.995,16",1370.0,1341.0,1374.0,1408.0,2.416099041056804,-0.0510961993854106,21.94647046241824,-9.516664178634544
38,1380,8.305990366,0.415,0.1463563784606713,0.0683354974994769,0.1657069479108762,[nan],-0.1,-0.1,-1.01,-1,"4.935,0.126,0.144,1373.,0.622,0.644,0.139,0.995,16",1394.0,1328.0,1394.0,1374.0,2.554917575926462,-0.085288825443089,21.98182704810499,-9.5153813499519
39,1390,8.511107217,0.415,0.1663783087276613,0.0666712933560527,0.1663783087276613,[nan],-0.01,-0.09,-0.89,-1,"4.935,0.136,0.094,1373.,0.622,0.645,0.139,0.995,16",1369.0,1341.0,1399.0,1380.0,2.699235865982347,-0.1175648643194186,22.01708539669352,-9.513920317035495
40,1400,8.720119957999998,0.415,0.2044974493659288,0.0694899102892421,0.1077605063066958,[nan],-0.0,0.1,-0.98,-1,"4.935,0.144,0.050,1373.,0.622,0.644,0.139,0.995,16",1362.0,1356.0,1388.0,1384.0,2.8248263012076884,-0.0873440845349395,22.05609740399947,-9.51239584967106
41,1410,8.931832643,0.415,0.2038010703173483,0.0715312312451075,0.0878072949955999,[nan],-0.19,0.1,-1.06,-1,"5.010,0.151,0.046,1373.,0.622,0.644,0.139,0.995,16",1400.0,1320.0,1362.0,1407.0,2.8646869416106027,-0.0846349676873888,22.088390781648982,-9.511259493322228
42,1420,9.150314754,0.415,0.2030846852363041,0.0735647623533353,0.0678592853714225,[nan],0.07,-0.06,-0.94,-1,"2.318,0.156,0.035,1373.,0.622,0.644,0.139,0.995,16",1359.0,1342.0,1386.0,1403.0,2.966589626780153,-0.0964878119675631,22.122126089968223,-9.510098615691527
43,1430,9.375533308999998,0.4142857142857143,0.2023482982693052,0.0755905171716981,0.0479143791826293,[nan],-0.16,0.13,-1.03,-1,"4.711,0.158,-0.00,1372.,0.622,0.644,0.139,0.995,16",1367.0,1338.0,1379.0,1405.0,2.964055557519811,-0.0844559071534878,22.132348327125552,-9.509756705774464
44,1440,9.586505531,0.4142857142857143,0.1814570710643094,0.077885755962769,0.0271875184273787,[nan],0.05,0.02,-0.99,-1,"-1.04,0.160,0.000,1372.,0.622,0.645,0.139,0.995,16",1377.0,1335.0,1350.0,1424.0,3.0304273060843085,-0.0309409394125723,22.14919347022884,-9.50919069076592
45,1450,9.873495513000002,0.1457142857142856,0.1605559234010637,0.0797639105996788,0.0064204575229789,[nan],0.01,0.04,-0.96,[3.1],"5.010,0.154,0.014,1131.,0.622,0.645,0.139,0.995,18",1381.0,1336.0,1347.0,1423.0,3.089975776664065,-0.0612071517631256,22.17149424808894,-9.508430790224718
46,1460,10.124795827,0.4478571428571427,0.160773388158886,0.0997191898488267,0.0080400277592631,[nan],-0.06,-0.02,-1.07,[3.1],"4.935,0.151,0.014,1403.,0.622,0.644,0.139,0.995,18",1392.0,1396.0,1392.0,1418.0,3.064965801032332,-0.1206837388518193,22.17141994089084,-9.508275991636316
47,1470,10.357160438000001,0.4378571428571427,0.1613400989693834,0.0781548810174019,0.0264024879377655,[nan],-0.05,-0.03,-1.11,[3.1],"4.935,0.262,0.145,1394.,0.622,0.645,0.139,0.995,18",1378.0,1364.0,1396.0,1456.0,3.0306785912856684,-0.0195450506483881,22.170861408502,-9.50828427944694
48,1480,10.598817419999996,0.4614285714285713,0.1656807468559553,0.1131432136835297,0.0898289891178354,[nan],-0.06,-0.07,-1.0,[3.1],"5.010,0.186,0.093,1415.,0.622,0.645,0.139,0.995,18",1425.0,1349.0,1382.0,1414.0,2.952447046761016,-0.1390014370521383,22.164430971679,-9.50832661929366
49,1490,10.847957993999998,0.452142857142857,0.1667998152162512,0.1114783964362478,0.1098746284412806,[nan],-0.07,0.07,-0.96,[3.1],"5.010,0.179,0.081,1406.,0.622,0.645,0.139,0.995,18",1392.0,1340.0,1386.0,1412.0,2.9800508806490047,-0.0884510728922205,22.166302276488747,-9.50840920141593
50,1500,11.084683771000002,0.4407142857142856,0.1445079345831913,0.0940877401508641,0.08713431050849,[nan],0.0,-0.02,-1.04,[3.1],"5.010,0.239,0.093,1396.,0.622,0.645,0.139,0.995,18",1392.0,1327.0,1378.0,1448.0,3.0150291702953504,-0.0275830964845056,22.1687911177544,-9.508427370749716
51,1510,11.315647752999993,0.417857142857143,0.146678402436866,0.1125758090578119,0.1087497334435796,[nan],-0.12,-0.01,-1.07,[3.1],"4.935,0.244,0.125,1376.,0.622,0.644,0.139,0.995,18",1379.0,1361.0,1413.0,1388.0,3.0753286929937538,0.09591340918885,22.17350617736879,-9.508374153310507
52,1520,11.55747066,0.4092857142857143,0.1278223432309536,0.1336251774788206,0.1090344640110244,[nan],0.13,-0.09,-0.98,[3.1],"5.010,0.236,0.090,1368.,0.622,0.645,0.139,0.995,18",1435.0,1286.0,1339.0,1446.0,3.173700539579453,0.0890762611369728,22.17914954572708,-9.508243964847413
53,1530,11.798891808,0.4164285714285713,0.1278223432309536,0.1336251774788206,0.1090344640110244,[nan],-0.07,-0.04,-0.99,[3.1],"4.935,0.214,0.105,1374.,0.622,0.645,0.139,0.995,18",1393.0,1348.0,1390.0,1419.0,3.198203085624603,0.0173066467678569,22.18106629594629,-9.508184127285125
54,1540,12.045168123000003,0.4107142857142857,0.1265687455679625,0.1136611524376838,0.1076144497475882,[nan],-0.08,-0.04,-1.08,[3.1],"5.010,0.178,0.079,1369.,0.622,0.644,0.139,0.995,18",1383.0,1324.0,1391.0,1388.0,3.249923908676028,0.0242988658393883,22.185488466555547,-9.508034950431432
55,1550,12.291279271,0.4514285714285713,0.1262898462669288,0.092445437447818,0.1262898462669288,[nan],0.01,-0.0,-1.06,[3.1],"4.935,0.168,0.030,1406.,0.622,0.645,0.139,0.995,18",1410.0,1343.0,1419.0,1438.0,3.148127575748418,-0.2072809890522097,22.18015071943255,-9.50820909121432
56,1560,12.538081048000002,0.4414285714285713,0.1234507737362331,0.0749978226275718,0.0848676544438664,[nan],-0.06,0.17,-1.03,[3.1],"4.861,0.175,0.011,1397.,0.622,0.644,0.139,0.995,18",1389.0,1350.0,1420.0,1420.0,3.1016529024059096,-0.0991936580237602,22.18044972705965,-9.508195503571637
57,1570,12.785872566999998,0.4307142857142856,0.1226964869105525,0.0762294325837507,0.0648503631078563,[nan],-0.22,-0.09,-1.09,[3.1],"4.861,0.180,0.010,1387.,0.622,0.645,0.139,0.995,18",1377.0,1353.0,1426.0,1409.0,3.0910881821735527,-0.0113246128054703,22.181537782561826,-9.508193989235194
58,1580,13.019940603000002,0.4185714285714286,0.1226964869105525,0.0762294325837507,0.0648503631078563,[nan],-0.2,0.05,-1.08,[3.1],"4.861,0.169,-0.00,1376.,0.622,0.644,0.139,0.995,18",1375.0,1334.0,1394.0,1419.0,3.1254726229640446,0.0558373742972665,22.18447180842504,-9.508169092165264
59,1590,13.254376659000002,0.3971428571428573,0.1211515119465676,0.0786688373471355,0.0248262544462855,[nan],-0.19,0.0,-1.05,[3.1],"4.861,0.188,-0.00,1357.,0.621,0.644,0.139,0.995,18",1328.0,1324.0,1386.0,1392.0,3.2364872135315874,0.1324982162981382,22.19153428206815,-9.508005691890173
60,1600,13.494939381000002,0.4042857142857143,0.1414660474208852,0.0570446438501666,0.0441619712168171,[nan],-0.17,0.01,-0.95,[3.1],"4.861,0.212,0.014,1363.,0.622,0.644,0.139,0.995,18",1349.0,1307.0,1373.0,1409.0,3.312386073819348,0.0217228474873482,22.195393577814,-9.507826615972885
61,1610,13.750617954999996,0.4157142857142857,0.1412389284630082,0.0784159021845189,0.0256153981728672,[nan],-0.18,-0.0,-0.98,[3.1],"4.861,0.266,0.046,1374.,0.622,0.644,0.139,0.995,18",1350.0,1346.0,1403.0,1408.0,3.316498468725136,-0.0642742639117519,22.19776277344868,-9.507722867582636
62,1620,13.982273288000002,0.4057142857142857,0.1636763461958441,0.0948509539350863,0.0680635243443906,[nan],-0.26,-0.13,-1.06,[3.1],"4.935,0.272,0.056,1365.,0.622,0.644,0.139,0.995,18",1333.0,1328.0,1402.0,1368.0,3.3801755571859964,-0.0356417749091782,22.204061557126465,-9.50749398640964
63,1630,14.223472381,0.4128571428571427,0.1656807468559553,0.1131432136835297,0.0898289891178354,[nan],-0.04,-0.14,-1.04,[3.1],"4.861,0.293,0.038,1371.,0.622,0.644,0.139,0.995,18",1401.0,1278.0,1341.0,1429.0,3.399105847847172,-0.1049402561826578,22.20820138635024,-9.507297371076984
64,1640,14.461704121000004,0.4135714285714286,0.166805328662901,0.1330865936495577,0.0916195033400172,[nan],-0.15,-0.13,-1.0,[3.1],"4.935,0.332,0.043,1372.,0.622,0.645,0.139,0.995,18",1366.0,1293.0,1370.0,1409.0,3.442088182734341,-0.1400818386081287,22.213269727107967,-9.507047582088324
65,1650,14.706950436,0.4064285714285713,0.1674823858029794,0.1746958474044642,0.0751496647826594,[nan],0.13,-0.11,-1.1,[3.1],"4.935,0.347,0.035,1365.,0.622,0.644,0.139,0.995,18",1395.0,1299.0,1355.0,1429.0,3.446666202973806,-0.0945269826160982,22.21821369855853,-9.506830365496848
66,1660,14.955609269,0.4185714285714286,0.1666072855023101,0.1963725450030675,0.0567838416375821,[nan],0.03,-0.08,-0.93,[3.1],"4.935,0.325,0.018,1376.,0.622,0.644,0.139,0.995,18",1362.0,1325.0,1377.0,1394.0,3.462799638627446,-0.1947776226491691,22.22328916439316,-9.506586771955016
67,1670,15.199880860999997,0.4021428571428573,0.1657199746005897,0.1763668695100735,0.0549810340864042,[nan],-0.27,0.04,-0.93,[3.1],"5.085,0.333,0.026,1361.,0.622,0.645,0.139,0.995,18",1358.0,1296.0,1365.0,1402.0,3.5272597950648725,-0.1229685024074011,22.231833522486912,-9.506069490719772
68,1680,15.449850158000004,0.425,0.1674823858029794,0.1746958474044642,0.0751496647826594,[nan],-0.12,-0.07,-1.06,[3.1],"5.085,0.375,0.040,1382.,0.622,0.645,0.139,0.995,18",1376.0,1316.0,1397.0,1425.0,3.459249594331653,-0.2428449044887448,22.233299782169983,-9.505995558355922
69,1690,15.686036713,0.4114285714285713,0.1718940394120821,0.2129843734062255,0.0991921268874363,[nan],-0.01,-0.05,-1.01,[3.1],"5.235,0.467,0.055,1370.,0.622,0.645,0.139,0.995,18",1394.0,1303.0,1392.0,1425.0,3.4394665465897827,-0.125329073075434,22.23883734979519,-9.505814332554928
70,1700,15.935516639,0.445,0.1763927944101715,0.2730907823593114,0.1053812190025644,[nan],-0.18,-0.11,-1.05,[3.1],"5.010,0.399,0.056,1400.,0.622,0.645,0.139,0.995,18",1404.0,1326.0,1370.0,1418.0,3.35316811592604,-0.312480759061657,22.239140518021053,-9.50581106034083
71,1710,16.172765953000003,0.4235714285714286,0.1528744706658375,0.2340086374404355,0.0988089781672551,[nan],-0.21,-0.01,-1.11,[3.1],"5.010,0.264,0.122,1381.,0.622,0.644,0.139,0.995,18",1413.0,1337.0,1404.0,1433.0,3.313144953522264,-0.1261807162652424,22.24451017069749,-9.50569437691968
72,1720,16.425030508999996,0.4685714285714286,0.1479684222410242,0.1325239059310177,0.1103728929266113,[nan],-0.03,0.0,-1.09,[3.1],"5.010,0.192,0.127,1421.,0.622,0.644,0.139,0.995,18",1461.0,1333.0,1451.0,1514.0,3.065719057258749,-0.2798736117566485,22.23486981636681,-9.505914244566773
73,1730,16.65837499,0.4478571428571427,0.1256407391043391,0.0712552569343789,0.1449649820913184,[nan],-0.46,-0.09,-1.33,[3.1],"4.786,0.185,0.081,1403.,0.622,0.645,0.139,0.995,18",1403.0,1364.0,1458.0,1453.0,2.976126674515543,-0.0617583534095811,22.2334277530004,-9.505916677418098
74,1740,16.888848582999998,0.4321428571428573,0.1241929189651369,0.0737582642375922,0.1048911550606824,[nan],-0.16,0.1,-1.05,[3.1],"4.786,0.199,0.038,1388.,0.621,0.645,0.139,0.995,18",1365.0,1353.0,1424.0,1424.0,2.9675315071086725,0.0590938523059458,22.233616851319177,-9.50591603550332
75,1750,17.127320527000002,0.43,0.1426033093545019,0.0969610943260499,0.0470821527168684,[nan],-0.12,-0.01,-1.01,[3.1],"4.711,0.251,0.038,1387.,0.622,0.644,0.139,0.995,18",1362.0,1335.0,1410.0,1450.0,2.9975135323893287,0.0530747271831567,22.234199229723146,-9.505946618003252
76,1760,17.361575619,0.4057142857142857,0.1432397214092252,0.1169310885391001,0.0485722517347691,[nan],-0.02,0.02,-0.94,[3.1],"4.935,0.362,0.090,1365.,0.622,0.644,0.139,0.995,18",1326.0,1313.0,1382.0,1409.0,3.1706118691417093,0.1097107553407319,22.242998064400727,-9.505884583377458
77,1770,17.59047023,0.3957142857142857,0.1462206412549757,0.1554462711057862,0.0717589345587409,[nan],-0.33,0.08,-0.88,[3.1],"4.935,0.385,0.100,1356.,0.622,0.644,0.139,0.995,18",1340.0,1294.0,1362.0,1410.0,3.2848784888293023,0.100357380896461,22.24850805948948,-9.505593797465083
78,1780,17.840330823000002,0.4014285714285713,0.1692275970696713,0.1730068855209037,0.0953184572448177,[nan],-0.1,0.06,-0.9,[3.1],"4.935,0.415,0.125,1361.,0.622,0.644,0.139,0.995,18",1331.0,1321.0,1386.0,1400.0,3.352567965220631,0.0058595378327493,22.2523641896818,-9.505303388647942
79,1790,18.068544804,0.4028571428571427,0.1705292105196243,0.1929875415732229,0.0972320740579493,[nan],-0.3,0.06,-1.08,[3.1],"4.786,0.409,0.110,1362.,0.622,0.645,0.139,0.995,18",1353.0,1320.0,1383.0,1418.0,3.403398715220211,-0.0395701566107948,22.257099534547766,-9.504955156633471
