timestamp,throttle_ref,yaw,pitch,roll,tof_measurement,accX,accY,accZ,altitude_ref,RC_data,mot_FL,mot_FR,mot_BL,mot_BR,KF_altitutde_est,KF_velocity_z_est,KF_alpha_est,KF_beta_est
2368.607332,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.644,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2393.804647,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.644,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2408.266295,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.644,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2428.668425,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.645,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2447.896351,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.645,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2468.71848,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.645,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2488.240925,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.645,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2508.81711,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.645,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2529.56624,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.644,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2554.788221,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.645,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
