index,datetime,z,z_ref,z_hat,v_hat,alpha_1,alpha_0,tau,timestamp
492,2024-04-15 15:05:43.505892,1.57,1.605,1.5710308301753415,0.1506677782707927,1.709739437515326,-0.7410567077132817,0.4307142857142857,11.208395004272461
493,2024-04-15 15:05:43.527607,1.57,1.605,1.5708146708964514,0.1187637645228932,1.6851395933193236,-0.7311075462355069,0.4328571428571429,11.230109930038452
494,2024-04-15 15:05:43.549155,1.565,1.605,1.5659149734632447,0.0826244494473443,1.6575811492773225,-0.7199616176068363,0.4357142857142857,11.251657962799072
495,2024-04-15 15:05:43.570763,1.56,1.605,1.5607014773162782,0.0550769431938491,1.6365087322594485,-0.7114388605107193,0.4378571428571428,11.273266077041626
496,2024-04-15 15:05:43.592268,1.565,1.605,1.5649059182494784,0.060289377494001,1.6392766281344004,-0.7125568603972737,0.4371428571428571,11.294770956039429
497,2024-04-15 15:05:43.613744,1.565,1.605,1.5651962978536271,0.053649180820576,1.633603188543915,-0.7102678235140255,0.4378571428571428,11.31624698638916
498,2024-04-15 15:05:43.635317,1.56,1.605,1.5604813583482684,0.0352248831303593,1.6196252166724252,-0.704625070925094,0.4392857142857143,11.337820053100586
499,2024-04-15 15:05:43.658394,1.555,1.605,1.5553868812628318,0.0206417973717559,1.6083436372116375,-0.7000684940546821,0.4414285714285714,11.360897064208984
500,2024-04-15 15:05:43.679923,1.56,1.605,1.5596774143909358,0.0352865247993647,1.6177727855301365,-0.7038783129473636,0.44,11.382426023483276
501,2024-04-15 15:05:43.702059,1.56,1.605,1.560030478193679,0.0354009262610466,1.616881049588482,-0.7035179125442933,0.44,11.404561996459961
502,2024-04-15 15:05:43.723735,1.56,1.605,1.5600529796438738,0.0345834316140372,1.6153310697599723,-0.7028913581031335,0.44,11.426238059997559
503,2024-04-15 15:05:43.745131,1.56,1.605,1.5600494809931398,0.0339042574332459,1.6138846329461876,-0.7023065789620848,0.44,11.447633981704712
504,2024-04-15 15:05:43.767546,1.56,1.605,1.5600452243051133,0.0333951021410286,1.612564429470019,-0.7017727828244342,0.44,11.470048904418945
505,2024-04-15 15:05:43.789261,1.555,1.605,1.5553494728142945,0.0203291447383469,1.6023804090208262,-0.6976548120638473,0.4414285714285714,11.491764068603516
506,2024-04-15 15:05:43.811546,1.565,1.605,1.5643662199675783,0.0477857708805652,1.6208117785064784,-0.705107995201733,0.4385714285714285,11.514049053192139
507,2024-04-15 15:05:43.833081,1.56,1.605,1.5603954526796198,0.0328570039409887,1.6093371808948986,-0.7004678122673004,0.44,11.535583972930908
508,2024-04-15 15:05:43.855272,1.56,1.605,1.5600604889496092,0.0315859521047529,1.6075862112030297,-0.6997597282391925,0.44,11.557775020599365
509,2024-04-15 15:05:43.876788,1.57,1.605,1.56941716607269,0.0569493387735923,1.6241041210006846,-0.7064303682002774,0.4371428571428571,11.579290866851807
510,2024-04-15 15:05:43.898683,1.57,1.605,1.5701471247158694,0.0522806470103025,1.6199304596398918,-0.704744413392357,0.4371428571428571,11.601186037063599
511,2024-04-15 15:05:43.920177,1.575,1.605,1.5748561615091592,0.0595925136510581,1.624016649698033,-0.7063955281384656,0.4357142857142857,11.622679948806763
512,2024-04-15 15:05:43.941808,1.575,1.605,1.575190392343481,0.0531394224864667,1.6186058136018944,-0.7042086732219701,0.4364285714285714,11.64431095123291
513,2024-04-15 15:05:43.963783,1.575,1.605,1.5751717656273023,0.0474331967799089,1.6137265425247524,-0.7022363414704739,0.4371428571428571,11.666285991668701
514,2024-04-15 15:05:43.985290,1.58,1.605,1.5798284402302138,0.0558632166322217,1.6185947316196962,-0.7042044166946048,0.4357142857142857,11.687793016433716
515,2024-04-15 15:05:44.007237,1.58,1.605,1.5801662589801575,0.0502692190943918,1.6138841550764251,-0.7022999083701409,0.4357142857142857,11.709739923477173
