datetime,z_tof,z_bar,z_ref,z_hat,v_hat,alpha_1,alpha_0,tau
2024-04-17 16:39:12.025534,nan,0.24076486585906723,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:12.052678,nan,-0.16803965923093184,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:12.080591,nan,-0.576840761192002,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:12.110009,nan,-0.576840761192002,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:12.137930,nan,-0.16803965923093184,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:12.164533,nan,0.12190983397369548,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:12.192615,nan,0.12190983397369548,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:12.223237,nan,0.12190983397369548,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:12.249707,nan,-0.03612256163121009,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:12.274826,nan,-0.3130081201436832,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:12.300026,nan,-0.2868911313373442,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:12.324094,nan,-0.2868911313373442,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:12.348112,nan,-0.2868911313373442,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:12.373659,nan,-0.2868911313373442,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:12.398347,nan,-0.2868911313373442,nan,0.5,0.0,3.0,-1.0,0.9892857142857143
2024-04-17 16:39:12.422448,nan,-0.06220250871671311,nan,0.5,0.0,3.0,-1.0,0.9892857142857143
2024-04-17 16:39:12.448915,nan,0.24076486585906723,nan,0.5,0.0,3.0,-1.0,0.9892857142857143
2024-04-17 16:39:12.473663,nan,0.24076486585906723,nan,0.5,0.0,3.0,-1.0,0.9892857142857143
2024-04-17 16:39:12.498944,nan,0.6365272100059681,nan,0.5,0.0,3.0,-1.0,0.9892857142857143
2024-04-17 16:39:12.523722,nan,0.6365272100059681,nan,0.5,0.0,3.0,-1.0,0.9892857142857143
2024-04-17 16:39:12.548426,nan,0.6365272100059681,nan,0.5,0.0,3.0,-1.0,0.9892857142857143
2024-04-17 16:39:12.575172,nan,0.504604490771964,nan,0.5,0.0,3.0,-1.0,0.9892857142857143
2024-04-17 16:39:12.600945,nan,0.21468041469988608,nan,0.5,0.0,3.0,-1.0,0.9892857142857143
2024-04-17 16:39:12.627060,nan,0.21468041469988608,nan,0.5,0.0,3.0,-1.0,0.9892857142857143
2024-04-17 16:39:12.652099,nan,0.21468041469988608,nan,0.5,0.0,3.0,-1.0,0.9892857142857143
2024-04-17 16:39:12.678825,nan,-0.16803965923093184,nan,0.5,0.0,3.0,-1.0,0.9892857142857143
2024-04-17 16:39:12.713396,nan,-0.16803965923093184,nan,0.5,0.0,3.0,-1.0,0.9892857142857143
2024-04-17 16:39:12.749017,nan,-0.16803965923093184,nan,0.5,0.0,3.0,-1.0,0.9892857142857143
2024-04-17 16:39:12.777659,nan,-0.06220250871671311,nan,0.5,0.0,3.0,-1.0,0.9892857142857143
2024-04-17 16:39:12.812265,nan,0.1088479600666091,nan,0.5,0.0,3.0,-1.0,0.9892857142857143
2024-04-17 16:39:12.841552,nan,0.1088479600666091,nan,0.5,0.0,3.0,-1.0,0.9892857142857143
2024-04-17 16:39:12.870571,nan,-0.3130081201436832,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:12.906099,nan,-0.3130081201436832,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:12.939480,nan,-0.049167728331209325,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:12.976229,nan,-0.049167728331209325,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.012940,nan,-0.3130081201436832,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.051807,nan,-0.3130081201436832,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.088104,nan,-0.576840761192002,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.122261,nan,-0.5898918099466368,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.153406,nan,-0.5898918099466368,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.190055,nan,-0.5898918099466368,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.223346,nan,-0.576840761192002,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.252818,nan,-0.4449254094842119,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.280142,nan,-0.4449254094842119,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.312550,nan,-0.45797239126782047,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.346314,nan,-0.45797239126782047,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.376914,nan,-0.45797239126782047,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.405704,nan,-0.45797239126782047,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.434589,nan,-0.3130081201436832,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.459513,nan,-0.576840761192002,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.485884,nan,-0.3130081201436832,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.514724,nan,0.1088479600666091,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.538993,nan,0.1088479600666091,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.564077,nan,0.1088479600666091,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.591701,nan,-0.5898918099466368,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.619949,nan,-0.5898918099466368,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.646976,nan,-0.5898918099466368,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.673511,nan,-0.7348540210348962,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.700059,nan,-0.45797239126782047,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.728677,nan,-0.45797239126782047,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.753176,nan,-0.45797239126782047,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.779700,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.810310,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.839174,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.865445,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.889534,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.921311,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.951167,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.975193,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:13.999986,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.025837,nan,0.22771744679451367,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.056927,nan,0.22771744679451367,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.085889,nan,0.22771744679451367,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.110961,nan,-0.06220250871671311,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.138401,nan,-0.06220250871671311,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.169637,nan,-0.19412774070917804,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.197870,nan,0.20165376898839663,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.223282,nan,0.20165376898839663,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.250947,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.276826,nan,-0.049167728331209325,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.306737,nan,-0.049167728331209325,nan,0.5,0.0,3.0,-1.0,0.0
