,Date_Time,Altitude,Reference_altitude,timestamp
3600,2024-03-15 16:45:14.752003,3.3,3.1,38.75315594673157
3620,2024-03-15 16:45:14.999649,3.22,3.1,39.0008020401001
3640,2024-03-15 16:45:15.249326,3.17,3.1,39.250478982925415
3660,2024-03-15 16:45:15.495110,3.11,3.1,39.49626302719116
3680,2024-03-15 16:45:15.742731,3.115,3.1,39.74388408660889
3700,2024-03-15 16:45:15.991301,3.135,3.1,39.992454051971436
3720,2024-03-15 16:45:16.240743,3.175,3.1,40.24189591407776
3740,2024-03-15 16:45:16.487411,3.145,3.1,40.488564014434814
3760,2024-03-15 16:45:16.732783,3.14,3.1,40.733936071395874
3780,2024-03-15 16:45:16.986638,3.08,3.1,40.98779106140137
3800,2024-03-15 16:45:17.212270,3.06,3.1,41.213423013687134
3820,2024-03-15 16:45:17.399832,2.99,3.1,41.4009850025177
3840,2024-03-15 16:45:17.592700,3.02,3.1,41.59385299682617
3860,2024-03-15 16:45:17.788555,3.035,3.1,41.78970789909363
3880,2024-03-15 16:45:17.992825,3.07,3.1,41.99397802352905
3900,2024-03-15 16:45:18.177841,3.06,3.1,42.178993940353394
3920,2024-03-15 16:45:18.376932,3.035,3.1,42.378084897994995
3940,2024-03-15 16:45:18.562993,3.035,3.1,42.56414604187012
3960,2024-03-15 16:45:18.761488,2.955,3.1,42.762640953063965
3980,2024-03-15 16:45:18.948674,2.995,3.1,42.94982695579529
4000,2024-03-15 16:45:19.138157,2.98,3.1,43.139309883117676
4020,2024-03-15 16:45:19.323894,2.95,3.1,43.3250470161438
4040,2024-03-15 16:45:19.520102,2.905,3.1,43.521255016326904
4060,2024-03-15 16:45:19.741185,3.015,3.1,43.74233794212341
4080,2024-03-15 16:45:19.927957,2.9,3.1,43.929110050201416
4100,2024-03-15 16:45:20.115524,2.825,3.1,44.116677045822144
4120,2024-03-15 16:45:20.306391,2.85,3.1,44.307543992996216
4140,2024-03-15 16:45:20.488826,2.875,3.1,44.48997902870178
4160,2024-03-15 16:45:20.678557,2.93,3.1,44.679709911346436
4180,2024-03-15 16:45:20.865020,2.945,3.1,44.86617302894592
4200,2024-03-15 16:45:21.093220,2.915,3.1,45.09437298774719
4220,2024-03-15 16:45:21.305168,2.925,3.1,45.306320905685425
4240,2024-03-15 16:45:21.490678,2.96,3.1,45.49183106422424
4260,2024-03-15 16:45:21.678645,2.9,3.1,45.679797887802124
4280,2024-03-15 16:45:21.863435,2.85,3.1,45.864588022232056
4300,2024-03-15 16:45:22.052045,2.84,3.1,46.05319809913635
4320,2024-03-15 16:45:22.235086,2.855,3.1,46.236238956451416
4340,2024-03-15 16:45:22.422934,2.825,3.1,46.424087047576904
4360,2024-03-15 16:45:22.610342,2.84,3.1,46.61149501800537
4380,2024-03-15 16:45:22.801446,2.885,3.1,46.80259895324707
4400,2024-03-15 16:45:22.981091,2.89,3.1,46.98224401473999
4420,2024-03-15 16:45:23.168960,2.905,3.1,47.17011308670044
4440,2024-03-15 16:45:23.356427,2.93,3.1,47.357579946517944
4460,2024-03-15 16:45:23.543189,2.96,3.1,47.544342041015625
4480,2024-03-15 16:45:23.727476,2.98,3.1,47.72862887382507
4500,2024-03-15 16:45:23.914262,2.98,3.1,47.91541504859924
4520,2024-03-15 16:45:24.104955,2.98,3.1,48.10610795021057
4540,2024-03-15 16:45:24.326057,2.99,3.1,48.32720994949341
4560,2024-03-15 16:45:24.511907,3.045,3.1,48.513060092926025
4580,2024-03-15 16:45:24.731880,3.075,3.1,48.73303294181824
4600,2024-03-15 16:45:24.918832,3.07,3.1,48.91998505592346
4620,2024-03-15 16:45:25.106515,3.045,3.1,49.10766792297363
4640,2024-03-15 16:45:25.293575,2.94,3.1,49.29472804069519
4660,2024-03-15 16:45:25.478725,2.845,3.1,49.479877948760986
4680,2024-03-15 16:45:25.667669,2.86,3.1,49.668822050094604
4700,2024-03-15 16:45:25.852560,2.875,3.1,49.853713035583496
4720,2024-03-15 16:45:26.037958,2.83,3.1,50.03911089897156
4740,2024-03-15 16:45:26.228180,2.84,3.1,50.22933292388916
4760,2024-03-15 16:45:26.414443,2.875,3.1,50.41559600830078
4780,2024-03-15 16:45:26.598423,2.825,3.1,50.599575996398926
4800,2024-03-15 16:45:26.796240,2.83,3.1,50.79739308357239
4820,2024-03-15 16:45:26.985918,2.825,3.1,50.98707103729248
4840,2024-03-15 16:45:27.170299,2.78,3.1,51.171452045440674
4860,2024-03-15 16:45:27.362184,2.73,3.1,51.36333703994751
4880,2024-03-15 16:45:27.547238,2.7,3.1,51.54839110374451
4900,2024-03-15 16:45:27.731345,2.725,3.1,51.73249793052673
4920,2024-03-15 16:45:27.919781,2.665,3.1,51.920933961868286
4940,2024-03-15 16:45:28.102682,2.665,3.1,52.103835105895996
4960,2024-03-15 16:45:28.294012,2.66,3.1,52.295165061950684
4980,2024-03-15 16:45:28.478174,2.7,3.1,52.47932696342468
5000,2024-03-15 16:45:28.665496,2.7,3.1,52.66664910316467
5020,2024-03-15 16:45:28.850408,2.705,3.1,52.851561069488525
5040,2024-03-15 16:45:29.037420,2.685,3.1,53.038573026657104
5060,2024-03-15 16:45:29.225364,2.665,3.1,53.22651696205139
5080,2024-03-15 16:45:29.410876,2.675,3.1,53.41202902793884
5100,2024-03-15 16:45:29.599694,2.66,3.1,53.600847005844116
5120,2024-03-15 16:45:29.784651,2.66,3.1,53.78580403327942
5140,2024-03-15 16:45:29.969059,2.685,3.1,53.97021198272705
5160,2024-03-15 16:45:30.156517,2.715,3.1,54.15767002105713
5180,2024-03-15 16:45:30.344573,2.71,3.1,54.345726013183594
5200,2024-03-15 16:45:30.528574,2.74,3.1,54.5297269821167
5220,2024-03-15 16:45:30.739689,2.82,3.1,54.74084210395813
5240,2024-03-15 16:45:30.926946,2.825,3.1,54.928098917007446
5260,2024-03-15 16:45:31.115026,2.83,3.1,55.1161789894104
5280,2024-03-15 16:45:31.302402,2.855,3.1,55.30355501174927
5300,2024-03-15 16:45:31.490872,2.925,3.1,55.49202489852905
5320,2024-03-15 16:45:31.708356,2.96,3.1,55.70950889587402
5340,2024-03-15 16:45:31.892629,3.04,3.1,55.893781900405884
