datetime,z_ref,z,z_hat,v_hat,alpha_1,alpha_0,tau
2024-04-09 18:49:57.056918,1.275,1.315,1.2744399535287614,0.04386664260177604,4.073628487191165,-1.6644930538413094,0.42
2024-04-09 18:49:57.080686,1.275,1.315,1.274848424183924,0.0499740303930061,4.073670616134867,-1.6644730269953794,0.42
2024-04-09 18:49:57.104143,1.28,1.315,1.2796030540678263,0.0659919535888856,4.073780928153173,-1.6644205849687628,0.41785714285714287
2024-04-09 18:49:57.127649,1.275,1.315,1.2753030882119551,0.05375576786449618,4.073696710837162,-1.664460623918049,0.41928571428571426
2024-04-09 18:49:57.151391,1.28,1.315,1.279654395115191,0.06770309575513252,4.0737927289475335,-1.6644149719966905,0.41785714285714287
2024-04-09 18:49:57.175114,1.28,1.315,1.2800086004540443,0.06735788720423193,4.073790339840263,-1.6644161079648954,0.41785714285714287
2024-04-09 18:49:57.198449,1.285,1.315,1.2847201033723155,0.07866051763188263,4.073868081351706,-1.664379141483371,0.4164285714285714
2024-04-09 18:49:57.222159,1.29,1.315,1.2897720039622265,0.08758354045890199,4.073931398844996,-1.6643490319898449,0.415
2024-04-09 18:49:57.245554,1.295,1.315,1.2948302163048715,0.09444970907341205,4.073775406170445,-1.6642436240891774,0.4135714285714286
2024-04-09 18:49:57.268563,1.3,1.315,1.2998761555446472,0.09946652209901787,4.073689366758895,-1.6641780750245188,0.4114285714285714
2024-04-09 18:49:57.292589,1.3,1.315,1.3002181308599283,0.09068342427216954,4.073785068758861,-1.6642707098634495,0.4114285714285714
2024-04-09 18:49:57.318477,1.305,1.315,1.304876843138212,0.09567102261928993,4.073754975165053,-1.664228191463958,0.41
2024-04-09 18:49:57.344235,1.315,1.315,1.3145783596844505,0.11271139105279918,4.073711945715928,-1.6641071475548348,0.40714285714285714
2024-04-09 18:49:57.368850,1.325,1.315,1.324665034591616,0.12626365868477815,4.073712509938925,-1.6640251904544123,0.4042857142857143
2024-04-09 18:49:57.392118,1.33,1.315,1.3300621416465368,0.12379262680805189,4.07370770824776,-1.6640384743944883,0.40214285714285714
2024-04-09 18:49:57.415901,1.34,1.315,1.3397631813853585,0.13338981706557357,4.073739048360424,-1.6639931837231021,0.3992857142857143
2024-04-09 18:49:57.438889,1.345,1.315,1.3451121281258982,0.12890486627929743,4.07371971134056,-1.664012787292778,0.39785714285714285
2024-04-09 18:49:57.461858,1.345,1.315,1.3454141876554722,0.11222187434132898,4.073636179425718,-1.6640802453637373,0.39785714285714285
2024-04-09 18:49:57.485897,1.345,1.315,1.3453299486502217,0.09892965368282469,4.073562614260783,-1.6641311063490758,0.39785714285714285
2024-04-09 18:49:57.508805,1.355,1.315,1.354626399498087,0.11403448742416628,4.0736517020833425,-1.6640758914307376,0.395
2024-04-09 18:49:57.532135,1.36,1.315,1.3599843614782985,0.11469606290415632,4.073655607649074,-1.6640736526726476,0.39357142857142857
2024-04-09 18:49:57.555887,1.37,1.315,1.3697023027802497,0.1267459917561865,4.073732398959633,-1.6640320415006966,0.39071428571428574
2024-04-09 18:49:57.579145,1.36,1.315,1.360992017916387,0.08673158394985517,4.073470581872278,-1.6641682569161333,0.39357142857142857
